country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Australia,288000000,160000000,272000000,399000000,84600000,123000000,738000000,681000000,617000000,111000000,578000000,388000000,342000000,364000000,392000000,354000000,396000000,710000000,648000000,614000000,562000000,693000000,642000000,627000000,593000000,772000000,810000000,1040000000,1630000000,896000000,892000000,995000000,901000000,1090000000,1070000000,1060000000,1110000000,1130000000,1210000000,1410000000,1670000000
Austria,,1090000,192000000,62200000,97800000,71100000,54000000,324000000,42000000,33200000,287000000,313000000,110000000,281000000,712000000,763000000,465000000,212000000,161000000,249000000,239000000,557000000,675000000,341000000,530000000,474000000,571000000,449000000,368000000,271000000,306000000,372000000,510000000,318000000,230000000,328000000,250000000,236000000,281000000,296000000,360000000
Belgium,61300000,63700000,87900000,83100000,466000000,503000000,91800000,70100000,91100000,102000000,118000000,145000000,189000000,179000000,664000000,616000000,184000000,731000000,717000000,703000000,702000000,781000000,577000000,696000000,662000000,645000000,581000000,444000000,431000000,462000000,445000000,416000000,440000000,565000000,592000000,674000000,653000000,641000000,739000000,833000000,716000000
Canada,312000000,76700000,708000000,695000000,865000000,922000000,1530000000,1130000000,1210000000,1280000000,1670000000,1980000000,1460000000,1010000000,1620000000,1430000000,1980000000,2260000000,1760000000,1260000000,1870000000,1820000000,1420000000,1230000000,1280000000,1630000000,1050000000,1010000000,1350000000,1310000000,955000000,1020000000,853000000,1240000000,996000000,1380000000,1800000000,1890000000,1870000000,1690000000,2370000000
Denmark,,,,,198000000,201000000,141000000,245000000,251000000,231000000,339000000,455000000,389000000,359000000,285000000,823000000,771000000,701000000,934000000,942000000,617000000,877000000,937000000,636000000,726000000,743000000,883000000,826000000,677000000,1250000000,1020000000,455000000,936000000,1220000000,695000000,926000000,883000000,1480000000,1530000000,823000000,946000000
Finland,,,,,,,49300000,30700000,50100000,34600000,43300000,93100000,73000000,217000000,157000000,263000000,221000000,307000000,472000000,458000000,,347000000,674000000,553000000,670000000,370000000,267000000,186000000,172000000,179000000,214000000,261000000,201000000,220000000,334000000,357000000,361000000,345000000,555000000,443000000,379000000
France,3440000000,4010000000,2910000000,2820000000,6410000000,6620000000,5910000000,7410000000,7860000000,7230000000,7210000000,8010000000,8550000000,9010000000,9420000000,9900000000,9990000000,11000000000,8710000000,7890000000,8090000000,8560000000,10100000000,10200000000,5850000000,5860000000,5770000000,5810000000,5620000000,5650000000,5640000000,5010000000,4770000000,3610000000,3620000000,3620000000,3970000000,4350000000,4270000000,5260000000,5240000000
Germany,2870000000,1750000000,1740000000,1820000000,2620000000,2880000000,2970000000,5000000000,3600000000,3850000000,4630000000,4840000000,6470000000,6350000000,7100000000,6120000000,5100000000,6840000000,5650000000,5370000000,6290000000,6730000000,6300000000,5410000000,4890000000,4750000000,4970000000,5480000000,5610000000,6310000000,5140000000,4520000000,4580000000,3730000000,4420000000,4220000000,4690000000,5310000000,5150000000,6310000000,5980000000
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22500000,21700000,39900000,70300000,96900000,134000000,143000000,167000000,277000000,150000000,172000000,158000000,207000000
Ireland,,,,,,,,,,,,,,,,,,,44500000,36500000,43200000,33200000,31800000,21000000,28900000,40500000,,76600000,121000000,118000000,,133000000,134000000,188000000,243000000,341000000,352000000,351000000,354000000,468000000,533000000
Italy,1790000000,1960000000,,347000000,602000000,141000000,156000000,,197000000,172000000,167000000,157000000,156000000,214000000,701000000,1630000000,2210000000,2460000000,2970000000,4410000000,4760000000,4210000000,3380000000,2130000000,3070000000,2180000000,1010000000,495000000,635000000,486000000,422000000,208000000,416000000,587000000,562000000,397000000,418000000,635000000,833000000,810000000,644000000
Japan,888000000,398000000,933000000,1030000000,2170000000,2620000000,2790000000,5420000000,3400000000,2430000000,4660000000,3970000000,4770000000,6420000000,5240000000,6740000000,6420000000,6470000000,7340000000,4640000000,7030000000,9880000000,5940000000,8180000000,9670000000,8140000000,9190000000,9140000000,10800000000,11600000000,11200000000,9910000000,8240000000,8130000000,7940000000,7280000000,6970000000,7470000000,8590000000,7940000000,8870000000
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,19700000,24900000,,43000000,43900000,82400000,99000000,92700000,138000000,,,,141000000,156000000,141000000,175000000
Netherlands,15900000,77400000,273000000,154000000,578000000,947000000,600000000,1370000000,1490000000,3300000000,2450000000,2510000000,2490000000,2910000000,2280000000,2030000000,1870000000,1790000000,1560000000,2260000000,2280000000,2180000000,2560000000,2310000000,1190000000,2140000000,2110000000,1460000000,1710000000,1700000000,1620000000,1600000000,1200000000,1650000000,2140000000,2780000000,1630000000,2390000000,2630000000,4920000000,2720000000
New Zealand,,,,,,,96600000,205000000,170000000,186000000,111000000,132000000,122000000,130000000,111000000,98600000,81200000,100000000,122000000,34100000,56300000,124000000,,8710000,118000000,85600000,86800000,93300000,82500000,,,107000000,126000000,105000000,118000000,107000000,111000000,110000000,108000000,142000000,132000000
Norway,20900000,23000000,29500000,74400000,125000000,168000000,343000000,482000000,452000000,374000000,546000000,666000000,610000000,561000000,588000000,750000000,710000000,1040000000,1010000000,1290000000,866000000,450000000,549000000,735000000,872000000,694000000,750000000,854000000,1130000000,954000000,753000000,813000000,1550000000,952000000,1530000000,1570000000,1400000000,1430000000,1650000000,1680000000,2010000000
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,99100000,,181000000,96200000,112000000,103000000,142000000,230000000,248000000,251000000,270000000,217000000,163000000,209000000,208000000,254000000
Spain,,,,,,,,,,,,,,,,,,,,,,,,,1480000000,1510000000,940000000,680000000,1090000000,990000000,904000000,1300000000,649000000,847000000,1480000000,1540000000,1430000000,1340000000,1340000000,1590000000,2610000000
Sweden,135000000,125000000,95700000,249000000,344000000,305000000,574000000,1320000000,551000000,547000000,1240000000,325000000,962000000,747000000,783000000,878000000,714000000,923000000,890000000,712000000,767000000,677000000,1050000000,1060000000,1110000000,1080000000,1370000000,1160000000,947000000,1070000000,1080000000,779000000,845000000,762000000,1090000000,1150000000,1080000000,1220000000,1420000000,1620000000,1530000000
Switzerland,37300000,67900000,58100000,111000000,83800000,85600000,151000000,111000000,176000000,137000000,146000000,129000000,253000000,159000000,502000000,428000000,510000000,385000000,640000000,399000000,462000000,497000000,549000000,494000000,625000000,515000000,348000000,488000000,249000000,470000000,,379000000,533000000,532000000,565000000,630000000,681000000,701000000,718000000,697000000,628000000
United Kingdom,864000000,1890000000,1030000000,1760000000,2350000000,3760000000,3490000000,3230000000,2560000000,3420000000,2590000000,4340000000,4990000000,2850000000,1850000000,2510000000,2310000000,2380000000,1360000000,2080000000,2110000000,1930000000,2320000000,2350000000,2800000000,2080000000,1860000000,1630000000,1820000000,1760000000,1490000000,1970000000,1980000000,2340000000,1950000000,2820000000,3150000000,3430000000,3470000000,3580000000,4970000000
United States,7300000000,5500000000,939000000,1320000000,4080000000,3690000000,3700000000,,3860000000,3520000000,,5010000000,5530000000,6150000000,5390000000,5470000000,6580000000,8940000000,5630000000,5190000000,5030000000,5050000000,5070000000,5900000000,5710000000,5320000000,4890000000,6180000000,5660000000,4290000000,4520000000,4880000000,7010000000,8180000000,6660000000,8820000000,13400000000,19900000000,17900000000,17300000000,18600000000
